#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
800,Mount Blum,A,Y,0
801,Mount Bonaparte,A,Y,0
802,Mount Brynion,A,N,0
803,Mount Carrie,A,Y,0
804,Mount Challenger,A,Y,0
805,Mount Christie,A,N,0
806,Mount Clifty,A,Y,0
807,Mount Daniel,A,N,0
808,Mount David,A,N,0
809,Mount Deception,A,N,0
810,Mount Defiance,A,N,0
811,Mount Higgins,A,Y,0
812,Mount Hoquiam,A,N,0
813,Mount Howard,A,N,0
814,Mount Hull,P,Y,1
815,Mount Jupiter,A,N,0
816,Mount Kit Carson,A,Y,0
817,Mount Lago,A,Y,0
818,Mount Larrabee,A,Y,0
819,Mount Leona,A,N,0
820,Mount Logan,A,Y,0
821,Mount Lyall,A,N,0
822,Mount Mitchell,A,N,0
823,Mount Muller,A,Y,0
824,Mount Olson,A,N,0
825,Mount Olympus,A,N,0
826,Mount Phelps,A,N,0
827,Mount Prophet,A,Y,0
828,Mount Queets,A,N,0
829,Mount Rainier East,A,N,0
830,Mount Rainier West,A,Y,0
831,Mount Redoubt,A,Y,0
832,Mount Saint Helens,A,N,0
833,Mount Sefrit,A,Y,0
834,Mount Shuksan,A,Y,0
835,Mount Si,A,N,0
836,Mount Skokomish,A,N,0
837,Mount Spickard,A,Y,0
838,Mount Spokane,A,Y,0
839,Mount Steel,A,N,0
840,Mount Stickney,A,N,0
841,Mount Stuart,P,Y,1
842,Mount Tabor,A,N,0
843,Mount Tebo,A,N,0
844,Mount Tom,A,N,0
845,Mount Townsend,A,N,0
846,Mount Triumph,A,Y,0
847,Mount Vernon,A,Y,0
848,Mount Walker,A,N,0
849,Mount Washington,A,N,0
850,Mount Wow,A,Y,0
851,Mount Zion,A,Y,0
852,Mountain View,P,Y,1
853,Mowich Lake,A,Y,0
854,Mud Spring,P,Y,1
855,Mukilteo,A,N,0
856,Multnomah Falls,A,N,0
857,Naches,A,Y,0
858,Nagrom,A,N,0
859,Nahwatzel Lake,A,N,0
860,Naneum Canyon,P,Y,1
861,Napavine,A,N,0
862,Nassa Point,A,N,0
863,Neah Bay,A,Y,0
864,Nelson Peak,A,Y,0
865,Nemah,A,N,0
866,Nespelem,A,Y,0
867,Nespelem NE,A,N,0
868,New London,A,N,0
869,Newaukum Lake,A,N,0
